park_name,park_code,states,designation,latitude,longitude,num_activities,num_topics,num_entrance_fees,description_length,has_camping,has_fishing,has_wildlife,has_biking,has_boating
Shiloh National Military Park,shil,"TN,MS",National Military Park,35.13850907,-88.3421072,20,25,0,366,False,False,True,True,False
Sitka National Historical Park,sitk,AK,National Historical Park,57.04718173,-135.3156876,16,30,0,358,False,True,True,False,False
Sleeping Bear Dunes National Lakeshore,slbe,MI,National Lakeshore,44.92844962,-86.02706591,29,23,5,398,True,True,True,True,False
Springfield 1908 Race Riot National Monument,spra,IL,National Monument,39.8027,-89.6422,0,9,0,377,False,False,False,False,False
Springfield Armory National Historic Site,spar,MA,National Historic Site,42.1086368,-72.57967415,8,41,0,400,False,False,False,False,False
Star-Spangled Banner National Historic Trail,stsp,"MD,VA,DC",National Historic Trail,39.2872505188,-76.6034317017,41,71,0,391,True,True,True,True,True
Statue Of Liberty National Monument,stli,NY,National Monument,40.6898,-74.0451,11,15,0,381,False,False,False,False,False
Ste. Geneviève National Historical Park,stge,MO,National Historical Park,37.9792171421,-90.0432157516,7,17,0,360,False,False,False,False,False
Steamtown National Historic Site,stea,PA,National Historic Site,41.40757521,-75.67037255,11,5,0,399,False,False,False,False,False
Stones River National Battlefield,stri,TN,National Battlefield,35.87608652,-86.43078399,23,22,0,251,False,True,True,True,False
Stonewall National Monument,ston,NY,National Monument,40.7337799072,-74.0006866455,3,6,0,243,False,False,False,False,False
Sunset Crater Volcano National Monument,sucr,AZ,National Monument,35.37114323,-111.510376,9,4,8,379,False,False,False,False,False
Tallgrass Prairie National Preserve,tapr,KS,National Preserve,38.44023613,-96.5670822,21,20,0,398,False,True,True,False,False
Thaddeus Kosciuszko National Memorial,thko,PA,National Memorial,39.94345312,-75.14732045,3,5,0,289,False,False,False,False,False
The White House and President's Park,whho,DC,,38.89541886,-77.03654147,9,29,0,381,False,False,False,False,False
Theodore Roosevelt Birthplace National Historic Site,thrb,NY,National Historic Site,40.7386469,-73.98903703,2,0,0,366,False,False,False,False,False
Theodore Roosevelt Inaugural National Historic Site,thri,NY,National Historic Site,42.90146781,-78.87248411,10,15,1,386,False,False,False,False,False
